principal_component,M-2H_H_H_M_n10_n20_l0_atom1,M-2H_H_H_M_n10_n20_l1_atom1,M-2H_H_H_M_n10_n20_l2_atom1,M-2H_H_H_M_n10_n20_l3_atom1,M-2H_H_H_M_n10_n20_l4_atom1,M-2H_H_H_M_n10_n21_l0_atom1,M-2H_H_H_M_n10_n21_l1_atom1,M-2H_H_H_M_n10_n21_l2_atom1,M-2H_H_H_M_n10_n21_l3_atom1,M-2H_H_H_M_n10_n21_l4_atom1,M-2H_H_H_M_n10_n22_l0_atom1,M-2H_H_H_M_n10_n22_l1_atom1,M-2H_H_H_M_n10_n22_l2_atom1,M-2H_H_H_M_n10_n22_l3_atom1,M-2H_H_H_M_n10_n22_l4_atom1,M-2H_H_H_M_n10_n23_l0_atom1,M-2H_H_H_M_n10_n23_l1_atom1,M-2H_H_H_M_n10_n23_l2_atom1,M-2H_H_H_M_n10_n23_l3_atom1,M-2H_H_H_M_n10_n23_l4_atom1,M-2H_H_H_M_n11_n20_l0_atom1,M-2H_H_H_M_n11_n20_l1_atom1,M-2H_H_H_M_n11_n20_l2_atom1,M-2H_H_H_M_n11_n20_l3_atom1,M-2H_H_H_M_n11_n20_l4_atom1,M-2H_H_H_M_n11_n21_l0_atom1,M-2H_H_H_M_n11_n21_l1_atom1,M-2H_H_H_M_n11_n21_l2_atom1,M-2H_H_H_M_n11_n21_l3_atom1,M-2H_H_H_M_n11_n21_l4_atom1,M-2H_H_H_M_n11_n22_l0_atom1,M-2H_H_H_M_n11_n22_l1_atom1,M-2H_H_H_M_n11_n22_l2_atom1,M-2H_H_H_M_n11_n22_l3_atom1,M-2H_H_H_M_n11_n22_l4_atom1,M-2H_H_H_M_n11_n23_l0_atom1,M-2H_H_H_M_n11_n23_l1_atom1,M-2H_H_H_M_n11_n23_l2_atom1,M-2H_H_H_M_n11_n23_l3_atom1,M-2H_H_H_M_n11_n23_l4_atom1,M-2H_H_H_M_n12_n20_l0_atom1,M-2H_H_H_M_n12_n20_l1_atom1,M-2H_H_H_M_n12_n20_l2_atom1,M-2H_H_H_M_n12_n20_l3_atom1,M-2H_H_H_M_n12_n20_l4_atom1,M-2H_H_H_M_n12_n21_l0_atom1,M-2H_H_H_M_n12_n21_l1_atom1,M-2H_H_H_M_n12_n21_l2_atom1,M-2H_H_H_M_n12_n21_l3_atom1,M-2H_H_H_M_n12_n21_l4_atom1,M-2H_H_H_M_n12_n22_l0_atom1,M-2H_H_H_M_n12_n22_l1_atom1,M-2H_H_H_M_n12_n22_l2_atom1,M-2H_H_H_M_n12_n22_l3_atom1,M-2H_H_H_M_n12_n22_l4_atom1,M-2H_H_H_M_n12_n23_l0_atom1,M-2H_H_H_M_n12_n23_l1_atom1,M-2H_H_H_M_n12_n23_l2_atom1,M-2H_H_H_M_n12_n23_l3_atom1,M-2H_H_H_M_n12_n23_l4_atom1,M-2H_H_H_M_n13_n20_l0_atom1,M-2H_H_H_M_n13_n20_l1_atom1,M-2H_H_H_M_n13_n20_l2_atom1,M-2H_H_H_M_n13_n20_l3_atom1,M-2H_H_H_M_n13_n20_l4_atom1,M-2H_H_H_M_n13_n21_l0_atom1,M-2H_H_H_M_n13_n21_l1_atom1,M-2H_H_H_M_n13_n21_l2_atom1,M-2H_H_H_M_n13_n21_l3_atom1,M-2H_H_H_M_n13_n21_l4_atom1,M-2H_H_H_M_n13_n22_l0_atom1,M-2H_H_H_M_n13_n22_l1_atom1,M-2H_H_H_M_n13_n22_l2_atom1,M-2H_H_H_M_n13_n22_l3_atom1,M-2H_H_H_M_n13_n22_l4_atom1,M-2H_H_H_M_n13_n23_l0_atom1,M-2H_H_H_M_n13_n23_l1_atom1,M-2H_H_H_M_n13_n23_l2_atom1,M-2H_H_H_M_n13_n23_l3_atom1,M-2H_H_H_M_n13_n23_l4_atom1
PC1,-0.085018,0.083961,-0.032907,-0.090335,-0.079010,0.079417,-0.021737,-0.108060,-0.096773,0.093233,-0.043547,-0.042273,-0.095502,0.091922,-0.045869,-0.059231,-0.143366,0.137409,-0.110864,0.060945,0.153566,-0.148895,0.116364,-0.054951,-0.102553,0.101286,-0.057182,0.012252,-0.139903,0.134028,-0.124391,0.024333,-0.145811,0.140504,-0.146454,0.107277,0.158672,-0.153296,0.158905,-0.111492,-0.119959,0.116997,-0.102026,0.052366,-0.150195,0.147568,-0.143488,0.084139,-0.132933,0.134100,-0.143555,0.125239,0.144804,-0.145871,0.157536,-0.136275,-0.122321,0.121648,-0.130135,0.107759,-0.134718,0.136855,-0.145933,0.128261,-0.094680,0.095556,-0.098539,0.055531,0.101459,-0.102562,0.109828,-0.067120,-0.072997,0.074710,-0.107084,0.091245,-0.097152,0.098992,-0.125454,0.115291
PC2,-0.225146,0.234337,-0.142827,-0.206844,-0.229125,0.236726,-0.168235,-0.169330,-0.207831,0.223353,-0.009963,-0.210913,-0.212817,0.226181,-0.079691,-0.224898,0.005926,0.018888,0.102231,-0.129087,0.028376,-0.059910,-0.113007,0.171142,-0.016895,0.054702,0.118809,-0.160777,-0.150007,0.163935,0.017802,-0.170646,0.063890,-0.065417,0.089776,-0.054716,-0.051077,0.050408,-0.098178,0.076558,0.011553,-0.002921,0.087965,-0.111148,-0.035835,0.037098,0.050780,-0.074239,0.075706,-0.074503,0.034228,-0.015898,-0.082041,0.080952,-0.040159,0.018431,0.055233,-0.055306,0.032004,-0.006203,0.093362,-0.091933,0.053188,-0.043158,-0.013603,0.014536,-0.014550,-0.014336,0.000720,-0.002024,0.012349,0.001770,0.054189,-0.050596,-0.026007,0.094281,0.122201,-0.120094,0.072132,-0.004599
PC3,-0.017067,0.035157,-0.099330,0.042543,-0.005232,0.026124,-0.066995,0.008229,-0.067642,0.068454,-0.206849,0.111823,-0.041538,0.054443,-0.153709,0.086574,-0.096183,0.082596,-0.098426,0.079576,0.131993,-0.112652,0.149981,-0.122476,-0.193709,0.164089,-0.206319,0.144589,-0.087604,0.067825,-0.153621,0.136915,0.024951,-0.030118,0.023194,0.011102,0.008349,-0.001508,0.017652,-0.046187,-0.137675,0.126093,-0.179065,0.151354,-0.039791,0.030888,-0.050085,0.079885,0.171551,-0.170127,0.144044,-0.127944,-0.148767,0.147051,-0.117274,0.099496,-0.034522,0.035117,-0.077655,0.088874,0.038027,-0.035039,-0.009054,0.008322,0.186305,-0.189183,0.223644,-0.182751,-0.178726,0.181476,-0.213813,0.172586,0.040666,-0.041171,0.047497,-0.036820,0.049694,-0.049569,0.046852,-0.050107
PC4,-0.033609,0.044076,-0.079971,0.017741,-0.029282,0.041117,-0.062742,-0.001886,-0.020535,0.036378,0.012869,-0.063271,-0.043910,0.052453,-0.098667,0.032397,-0.101189,0.057989,-0.213258,0.228805,0.056508,-0.024731,0.154643,-0.178546,0.079512,-0.065377,0.087072,-0.064600,-0.021474,0.004466,-0.102511,0.131361,-0.036521,0.012278,-0.179385,0.265270,-0.007371,0.029514,0.132510,-0.233528,0.166641,-0.166454,0.130044,-0.046268,0.067443,-0.080422,-0.001384,0.103293,-0.028552,0.029260,-0.094871,0.129789,-0.012415,0.012250,0.054831,-0.098599,0.222909,-0.223122,0.197663,-0.124075,0.109697,-0.110425,0.069005,-0.033050,-0.099540,0.097127,-0.017230,-0.108325,0.082915,-0.079862,-0.011580,0.136096,0.116333,-0.120766,0.212106,-0.218767,0.041432,-0.044916,0.120777,-0.200798
PC5,0.048803,-0.057312,0.045855,0.049545,0.051135,-0.059141,0.050011,0.045042,0.056172,-0.059045,0.081057,-0.011882,0.040431,-0.051249,0.023259,0.058815,-0.136835,0.148423,-0.055707,-0.016383,0.107960,-0.123755,0.018489,0.055563,0.002971,0.018557,0.078515,-0.095662,-0.056824,0.069428,0.021938,-0.104420,-0.212978,0.232908,-0.068054,-0.103229,0.202336,-0.224579,0.039713,0.147215,-0.063147,0.084018,0.089874,-0.195286,-0.124986,0.146811,0.022410,-0.197588,-0.095606,0.098131,-0.031421,-0.044310,0.085709,-0.088434,0.011447,0.073468,0.020204,-0.017093,0.107931,-0.182838,-0.039186,0.040931,0.047525,-0.133445,0.133677,-0.132846,0.057851,0.087630,-0.168430,0.167433,-0.077181,-0.096409,0.266084,-0.265807,0.176128,0.044393,0.179821,-0.179775,0.109612,0.060084
PC6,-0.075314,-0.055126,0.296263,-0.025039,-0.074608,-0.055271,0.290404,-0.035572,-0.118896,0.022294,0.286853,-0.138878,-0.082620,-0.055611,0.288945,-0.016153,0.070865,-0.081164,-0.098395,0.116726,-0.013460,0.002981,0.069869,-0.036060,-0.141260,0.179082,0.053929,-0.152158,-0.018988,0.055601,-0.062570,-0.100493,0.126283,-0.113017,-0.089478,0.072227,-0.088328,0.069973,0.087233,-0.032409,-0.119680,0.138353,-0.004524,-0.127622,0.043644,-0.007252,-0.097206,-0.082931,-0.047503,0.028158,0.151024,-0.067439,0.062724,-0.043723,-0.144120,0.070539,-0.098808,0.092169,0.016340,-0.040072,-0.111517,0.088995,0.131097,-0.037164,-0.098638,0.086235,0.143568,-0.254431,0.095782,-0.083505,-0.137575,0.234568,0.031857,-0.033066,0.010014,0.080692,-0.044608,0.036382,0.067579,-0.018342
PC7,0.070801,0.009211,-0.146879,0.005522,0.064471,0.016470,-0.128845,-0.031204,0.039411,0.023605,-0.101598,-0.015552,0.086674,-0.000318,-0.136037,0.003259,0.067539,-0.119306,-0.068349,0.177415,-0.041183,0.078072,0.040385,-0.129678,-0.101432,0.105289,-0.037774,-0.010837,0.095053,-0.100040,0.205270,-0.079713,-0.052050,0.033444,-0.019206,0.084237,0.068870,-0.053592,0.008550,-0.054061,-0.197593,0.200276,-0.091239,-0.013299,0.093102,-0.098416,0.297060,-0.217255,-0.049686,0.064578,-0.100604,-0.040186,0.063263,-0.078423,0.106389,0.045944,-0.190395,0.196505,-0.156409,0.019171,0.224178,-0.210299,0.157104,-0.279947,-0.101561,0.101891,-0.068247,-0.076358,0.102755,-0.103043,0.072336,0.065612,-0.022071,0.024363,-0.084715,0.093881,0.151755,-0.148733,0.092525,-0.075729
PC8,-0.116540,0.010935,0.220383,-0.085027,-0.113386,0.008097,0.214563,-0.089605,-0.061089,-0.028790,0.083445,0.069382,-0.111928,0.001024,0.225772,-0.065180,-0.126348,0.169988,-0.029027,-0.099812,0.072900,-0.099401,0.050591,0.043024,0.054996,-0.093567,-0.109458,0.167181,0.032151,0.002027,0.011816,-0.115368,-0.024988,0.043781,-0.110544,0.010142,-0.009679,-0.004880,0.115134,-0.044325,0.056268,-0.073603,-0.130658,0.214090,0.221057,-0.197977,0.045820,-0.068080,-0.028304,0.010492,0.008301,0.176144,0.019398,-0.001277,-0.007023,-0.187917,-0.027946,0.019438,-0.070683,0.180516,0.158189,-0.181686,0.262968,-0.048437,0.112991,-0.111380,0.025697,0.188639,-0.099485,0.097771,-0.017672,-0.178209,-0.119110,0.115969,-0.028068,-0.061036,0.109573,-0.114279,0.172878,-0.073503
PC9,-0.064739,0.041258,0.031069,-0.057691,-0.056982,0.037134,0.067705,-0.125243,-0.055486,0.021556,-0.148707,0.148867,-0.078331,0.047867,-0.021669,0.018702,-0.122870,0.128495,-0.079342,0.017974,0.098742,-0.093902,0.106217,-0.064648,-0.031914,-0.015361,-0.188094,0.213638,-0.023356,0.038951,0.029579,-0.098452,-0.020517,0.036677,0.083356,-0.162661,-0.002655,-0.011047,-0.086050,0.148770,0.062267,-0.070408,-0.020495,0.079094,0.060436,-0.042882,0.152669,-0.220346,-0.069738,0.066049,0.123362,-0.241380,0.050173,-0.046184,-0.144821,0.257392,0.075993,-0.077808,0.163449,-0.184994,-0.054425,0.050320,0.109060,-0.201746,-0.137952,0.136239,-0.099951,0.035688,0.134859,-0.132357,0.078860,-0.002197,-0.046318,0.039007,0.115656,-0.228213,-0.204863,0.203864,-0.165690,0.081607
